A,ProductName,InArea,MbaId,ProductSerialNumber,commodity,AnnualConsumption,StartDate,ContractDuration,OrderDate,Status,PriceGuarantee,PriceDate,PriceChange,OrigBaseCosts,OrigKwhCosts,OrigKwhMargin,OrigbaseMargin,CurrentBasePriceNet,CurrentKwhPriceNet,CatalogBasePrice,CatalogKwhPrice,CurrentBaseCost,CurrentKwhCost,CurrentKwhRohmarge,CurrentBaseRohmarge,BaseNewPriceProposed,KwhNewPriceProposed,NewPriceInclude,NewPriceStartdate,CurrentBaseTargetMargin,CurrentKwhTargetMargin
A2,12,False,en-9275495928,ev-jnasn5526,power,1357,2021-02-01,2022-01-31 00:00:00,2021-01-03,active,2022-01-31 00:00:00,2020-10-01,False,63.58,22.75,0.1,2.0,65.58,22.85,96.64,34.8,89.7,19.503,3.3470000000000013,-24.120000000000005,91.7,19.599999999999998,,,6.94,15.3
A2,12,False,en-4772906394,ev-zxakd7765,power,2369,2021-02-12,2022-02-11 00:00:00,2021-01-03,active,2022-02-11 00:00:00,2020-10-01,False,63.58,23.55,0.1,2.0,65.58,23.65,96.64,35.6,89.7,20.303,3.3469999999999978,-24.120000000000005,91.7,20.400000000000002,,,6.94,15.3
A2,12,False,en-5957251282,ev-ydfgx7020,power,1019,2021-01-03,2022-01-02 00:00:00,2021-01-03,active,2022-01-02 00:00:00,2020-10-01,False,63.58,23.55,0.1,2.0,65.58,23.65,96.64,35.6,89.7,20.303,3.3469999999999978,-24.120000000000005,91.7,20.400000000000002,,,6.94,15.3
A2,EASY,False,en-mj0206334,ev-tnowl5845,power,2246,2021-01-01,2021-01-01 00:00:00,2021-01-03,active,2021-01-01 00:00:00,2020-10-01,False,101.58,25.86,1.16,30.0,131.58,27.02,159.22,39.85,131.83,23.553,3.4669999999999987,-0.25,161.82999999999998,24.71,,,27.39,16.3
A2,EASY,False,en-mj0206334,ev-eoniy7407,gas,7247,2021-01-01,2021-01-01 00:00:00,2021-01-03,active,2021-01-01 00:00:00,2020-10-01,False,107.52,3.9814,0.2,40.0,147.52,4.18,195.88,14.95,155.88,4.504,-0.32399999999999984,-8.359999999999985,195.88,4.7,,,40.0,10.45
A2,12,False,en-4167761933,ev-cazea9874,gas,16560,2021-01-03,2022-01-02 00:00:00,2021-01-03,active,2022-01-02 00:00:00,2020-10-01,False,124.85,4.4294,0.15,32.0,156.85,4.58,158.29,12.48,176.19,5.0327,-0.4527000000000001,-19.340000000000003,208.19,5.180000000000001,,,-17.9,7.45
A2,12,False,en-4167761933,ev-ehqte9553,power,1834,2021-01-03,2022-01-02 00:00:00,2021-01-03,active,2022-01-02 00:00:00,2020-10-01,False,63.58,23.55,0.1,2.0,65.58,23.65,96.64,35.6,89.7,20.303,3.3469999999999978,-24.120000000000005,91.7,20.400000000000002,,,6.94,15.3
A2,12,False,en-7637826202,ev-whkxr3046,gas,11405,2021-01-01,2021-12-31 00:00:00,2021-01-04,active,2021-12-31 00:00:00,2020-10-01,False,96.04,3.8604,0.15,32.0,128.04,4.01,174.34,15.14,142.34,4.391,-0.3810000000000002,-14.300000000000011,174.34,4.540000000000001,,,32.0,10.75
A2,12,False,en-7637826202,ev-nzbms6080,power,2319,2021-03-01,2022-02-28 00:00:00,2021-01-04,active,2022-02-28 00:00:00,2020-10-01,False,107.9,22.91,0.7,24.0,131.9,23.61,152.72,37.15,135.33,20.053,3.5569999999999986,-3.430000000000007,159.32999999999998,20.749999999999996,,,17.39,17.1
A2,12,False,en-2330601515,ev-lfjxv8284,power,1186,2021-01-01,2021-12-31 00:00:00,2021-01-04,active,2021-12-31 00:00:00,2020-10-01,False,98.84,22.9,0.7,24.0,122.84,23.6,146.49,37.11,129.1,20.013,3.5869999999999997,-6.259999999999991,153.10000000000002,20.709999999999997,,,17.39,17.1
